,Darija,English,MSA
2152,تأكد من أن الحافلة اللي كتفكر في أن تشدها كاتمشي للخليل وماشي غير لمستوطنة كريات أربع اليهودية القريبة.,Check that the bus you are thinking of taking goes into Hebron and not just to the nearby Jewish settlement of Kiryat Arba.,تحقق من أن الحافلة التي تفكر في ركوبها تذهب إلى الخليل وليس فقط إلى المستوطنة اليهودية القريبة من كريات أربا.
2153,راجع الملصق باش تتعرف على إرشادات الإسعافات الأولية الخاصة بالسم المحدد.,Check the label for specific first aid instructions for that specific poison.,تحقق من الملصق للحصول على تعليمات الإسعافات الأولية المحددة لهذا السم المحدد.
2154,مشاهدة أزهار الكرز-المعروفة باسم هانامي- جزء من الثقافة اليابانية من القرن الثامن.,"Cherry blossom viewing, known as hanami, has been a part of Japanese culture since the 8th century.",كان مشاهدة أزهار الكرز ، والمعروفة باسم هانامي ، جزءًا من الثقافة اليابانية منذ القرن الثامن.
2155,كيتحطو الدراري في الرعاية الحاضنة لأسباب متنوعة مابين الإهمال والإيذاء وحتى الابتزاز.,"Children are placed in Foster Care for a wide variety of reasons that range from neglect, to abuse, and even to extortion.",يتم وضع الأطفال في رعاية الرعاية لأسباب متنوعة تتراوح من الإهمال إلى الإساءة وحتى الابتزاز.
2156,عيد الميلاد هو أحد أهم أعياد المسيحية، ويُحتفَل به كعيد ميلاد المسيح.,"Christmas is one of the most important holidays of Christianity, and is celebrated as the birthday of Jesus.",عيد الميلاد هو واحد من أهم العطلات في المسيحية، ويحتفل به باعتباره عيد ميلاد يسوع.
2157,المدن المستقلة ذاتياً هي بمثابة أسلاف الأمم. الثقافة الحضارية كتعني ضمنياً نقل المعرفة عبر بزاف دلأجيال، وبصمة ثقافية كتبقا ونشر للمعرفة بشكل عادل.,"City-states are the precursors of nations. A civilizational culture implies the passing on of knowledge across several generations, a lingering cultural footprint and fair dissemination.",إن مدن الدول هي سلف الأمم، فالثقافة الحضارية تنطوي على نقل المعرفة عبر عدة أجيال، وبصمة ثقافية متواصلة، ونشرها بشكل عادل.
2158,تحركت قوات التحالف والقوات الأفغانية إلى المنطقة باش تامن الموقع وصيفطات طائرات التحالف الأخرى باش تعاون.,Coalition and Afghan troops moved into the area to secure the site and other coalition aircraft have been sent to assist.,وتحرك قوات التحالف والقوات الأفغانية إلى المنطقة لتأمين الموقع، وأرسلت طائرات التحالف الأخرى للمساعدة.
2159,وادي كوشامو - وجهة التسلق الأولى في تشيلي، والمعروفة باسم يوسمايت في أمريكا الجنوبية، مع مجموعة متنوعة من الجدران وصخور الجرانيت الكبيرة.,"Cochamó Valley - Chile's premier climbing destination, known as the Yosemite of South America, with a variety of granite big walls and crags.",وادي كوشامو - وجهة التسلق الرائدة في تشيلي ، والمعروفة باسم يوسيميت في أمريكا الجنوبية ، مع مجموعة متنوعة من الجدران الكبيرة من الجرانيت والصخور.
2160,"زيد على أنه صعيب توصل ليها نسبياً، ولات ""تمبوكتو"" كتستخدم بحال مجاز للأراضي الغريبة البعيدة.","Combined with its relative inaccessibility, ""Timbuktu"" has come to be used as a metaphor for exotic, distant lands.","بالإضافة إلى عدم إمكانية الوصول إليها نسبيًا، أصبح ""تيمبوكتو"" يستخدم كمجاز للأراضي الغريبة البعيدة."
2161,ربما المذنبات هي مصدر دتوصيل الما للأرض جنباً إلى جنب مع المواد العضوية اللي يمكن أنها تكون البروتينات وتدعم الحياة.,Comets may possibly have been a source of water delivery to the earth along with organic matter that can form proteins and support life.,ربما كانت المذنبات مصدرًا لتوصيل المياه إلى الأرض جنبًا إلى جنب مع المادة العضوية التي يمكن أن تشكل البروتينات وتدعم الحياة.
2162,قال آدم كويردين، مدير مجلس العموم، باللي حس بالإحباط بسبب عمليات الشطب منين تحدث مع ويكي نيوز الشهر اللي فات .,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,أعرب مدير Commons Adam Cuerden عن إحباطه من عمليات الحذف عندما تحدث إلى Wikinews الشهر الماضي.
2163,الكونجرس بدا التمويل ديال مبادرة الفحش في السنة المالية 2005 وحدد أن مكتب التحقيقات الفدرالي خاصه يخصص 10 عملاء للمواد الإباحية للبالغين.,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,بدأ الكونغرس بتمويل مبادرة الفاحشة في العام المالي 2005 وحدد أن مكتب التحقيقات الفيدرالي يجب أن يكرس 10 عملاء للفحش للبالغين.
